id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
273,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,1,1506,53.142857142857146,2735,53.285714285714285,-0.22126220886551473,108.40313816070557
8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,16,402,10.0,426,10.0,0.0,20.37028980255127
634,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,7870,145.1578947368421,7878,145.26315789473685,0,0.2696223258972168
526,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5435,157.41176470588235,,,,300
562,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,1727,2541,71.66666666666667,3234,71.88888888888889,0.0,157.2852635383606
900,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,11790,200.3846153846154,,,,300
171,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1201,11.0,,,,300
561,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2014,25.25,2019,25.25,0,3.6657631397247314
383,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,1577,18.333333333333332,,,,263.0255215167999
794,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3580,40.0,,,,300
643,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1358,31.125,,,,300
802,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1291,20.8,1373,20.9,0,112.90015292167664
409,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2410,66.45,,,,300
259,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3963,40.42857142857143,4045,40.42857142857143,0,5.698355436325073
764,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,17994,230.94117647058823,,,,300
181,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,8207,138.41176470588235,,,,300
827,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,536,18.25,,,,300
516,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,1028,37.0,,,,1.8426291942596436
931,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,9924,217.25,10047,217.625,0,1.5813603401184082
185,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,29127,355.05263157894734,,,,300
760,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3636,65.0,,,,300
218,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,7977,132.64285714285714,,,,300
452,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,11120,369.1764705882353,11126,369.29411764705884,0,0.09313797950744629
823,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3128,56.8,,,,300
59,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1310,15.428571428571429,1310,15.428571428571429,0,12.984262466430664
790,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,18543,196.66666666666666,,,,300
175,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1222,26.666666666666668,,,,300
588,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3563,49.53333333333333,3572,49.733333333333334,0,10.705257415771484
904,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2914,55.84615384615385,,,,300
45,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,977,9.4,,,,11.301236867904663
647,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,273,5.625,,,,300
318,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,680,9.428571428571429,,,,136.76702690124512
56,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1767,108.0,1771,108.28571428571429,0,0.028823375701904297
750,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,21283,283.6842105263158,21297,283.7894736842105,0,2.7679316997528076
511,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3107,48.333333333333336,3140,48.46666666666667,0,0.8859958648681641
862,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,444,18.2,,,,0.3090684413909912
671,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,982,22.375,,,,300
35,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,7561,70.10526315789474,,,,300
226,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1672,36.25,1671,36.25,0,0.1801447868347168
309,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,4179,64.35714285714286,,,,300
872,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1214,27.1,1250,27.2,0,0.6989755630493164
932,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1833,100.66666666666667,,,,300
124,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,4322,89.5,4530,89.25,0,1.0811407566070557
681,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1134,25.0,,,,300
613,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,618,10.0,620,10.0,0,0.4844191074371338
815,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,801,13.6,,,,300
229,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,524,53.333333333333336,526,53.5,0,0.01679682731628418
756,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3354,62.333333333333336,,,,300
352,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,730,178,3.625,193,3.625,0.0,79.80931615829468
811,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2079,76.77777777777777,,,,300
685,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2616,32.083333333333336,,,,300
